DATE,UNRATE,,month,day,Year
7/1/1994,6.1,,7,1,1994
8/1/1994,6,,8,1,1994
9/1/1994,5.9,,9,1,1994
10/1/1994,5.8,,10,1,1994
11/1/1994,5.6,,11,1,1994
12/1/1994,5.5,,12,1,1994
1/1/1995,5.6,,1,1,1995
2/1/1995,5.4,,2,1,1995
3/1/1995,5.4,,3,1,1995
4/1/1995,5.8,,4,1,1995
5/1/1995,5.6,,5,1,1995
6/1/1995,5.6,,6,1,1995
7/1/1995,5.7,,7,1,1995
8/1/1995,5.7,,8,1,1995
9/1/1995,5.6,,9,1,1995
10/1/1995,5.5,,10,1,1995
11/1/1995,5.6,,11,1,1995
12/1/1995,5.6,,12,1,1995
1/1/1996,5.6,,1,1,1996
2/1/1996,5.5,,2,1,1996
3/1/1996,5.5,,3,1,1996
4/1/1996,5.6,,4,1,1996
5/1/1996,5.6,,5,1,1996
6/1/1996,5.3,,6,1,1996
7/1/1996,5.5,,7,1,1996
8/1/1996,5.1,,8,1,1996
9/1/1996,5.2,,9,1,1996
10/1/1996,5.2,,10,1,1996
11/1/1996,5.4,,11,1,1996
12/1/1996,5.4,,12,1,1996
1/1/1997,5.3,,1,1,1997
2/1/1997,5.2,,2,1,1997
3/1/1997,5.2,,3,1,1997
4/1/1997,5.1,,4,1,1997
5/1/1997,4.9,,5,1,1997
6/1/1997,5,,6,1,1997
7/1/1997,4.9,,7,1,1997
8/1/1997,4.8,,8,1,1997
9/1/1997,4.9,,9,1,1997
10/1/1997,4.7,,10,1,1997
11/1/1997,4.6,,11,1,1997
12/1/1997,4.7,,12,1,1997
1/1/1998,4.6,,1,1,1998
2/1/1998,4.6,,2,1,1998
3/1/1998,4.7,,3,1,1998
4/1/1998,4.3,,4,1,1998
5/1/1998,4.4,,5,1,1998
6/1/1998,4.5,,6,1,1998
7/1/1998,4.5,,7,1,1998
8/1/1998,4.5,,8,1,1998
9/1/1998,4.6,,9,1,1998
10/1/1998,4.5,,10,1,1998
11/1/1998,4.4,,11,1,1998
12/1/1998,4.4,,12,1,1998
1/1/1999,4.3,,1,1,1999
2/1/1999,4.4,,2,1,1999
3/1/1999,4.2,,3,1,1999
4/1/1999,4.3,,4,1,1999
5/1/1999,4.2,,5,1,1999
6/1/1999,4.3,,6,1,1999
7/1/1999,4.3,,7,1,1999
8/1/1999,4.2,,8,1,1999
9/1/1999,4.2,,9,1,1999
10/1/1999,4.1,,10,1,1999
11/1/1999,4.1,,11,1,1999
12/1/1999,4,,12,1,1999
1/1/2000,4,,1,1,2000
2/1/2000,4.1,,2,1,2000
3/1/2000,4,,3,1,2000
4/1/2000,3.8,,4,1,2000
5/1/2000,4,,5,1,2000
6/1/2000,4,,6,1,2000
7/1/2000,4,,7,1,2000
8/1/2000,4.1,,8,1,2000
9/1/2000,3.9,,9,1,2000
10/1/2000,3.9,,10,1,2000
11/1/2000,3.9,,11,1,2000
12/1/2000,3.9,,12,1,2000
1/1/2001,4.2,,1,1,2001
2/1/2001,4.2,,2,1,2001
3/1/2001,4.3,,3,1,2001
4/1/2001,4.4,,4,1,2001
5/1/2001,4.3,,5,1,2001
6/1/2001,4.5,,6,1,2001
7/1/2001,4.6,,7,1,2001
8/1/2001,4.9,,8,1,2001
9/1/2001,5,,9,1,2001
10/1/2001,5.3,,10,1,2001
11/1/2001,5.5,,11,1,2001
12/1/2001,5.7,,12,1,2001
1/1/2002,5.7,,1,1,2002
2/1/2002,5.7,,2,1,2002
3/1/2002,5.7,,3,1,2002
4/1/2002,5.9,,4,1,2002
5/1/2002,5.8,,5,1,2002
6/1/2002,5.8,,6,1,2002
7/1/2002,5.8,,7,1,2002
8/1/2002,5.7,,8,1,2002
9/1/2002,5.7,,9,1,2002
10/1/2002,5.7,,10,1,2002
11/1/2002,5.9,,11,1,2002
12/1/2002,6,,12,1,2002
1/1/2003,5.8,,1,1,2003
2/1/2003,5.9,,2,1,2003
3/1/2003,5.9,,3,1,2003
4/1/2003,6,,4,1,2003
5/1/2003,6.1,,5,1,2003
6/1/2003,6.3,,6,1,2003
7/1/2003,6.2,,7,1,2003
8/1/2003,6.1,,8,1,2003
